model,K,num_latent_factors,alg,scaling_value,sigma,preproc_time,comp_time,num_items_first_check,num_items_last_check,user_sample_ratio,num_sampled_users,blocked_mm_sample_time,fexipro_sample_time,fexipro_wins
nomad-KDD-10-reg-1,50,10,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,12800,0.001512,0.003334,False
nomad-KDD-100-reg-1,1,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.003160,0.026673,False
nomad-KDD-100-reg-1,1,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.003372,0.028584,False
nomad-KDD-100-reg-1,10,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.003498,0.044368,False
nomad-KDD-100-reg-1,10,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.004042,0.042488,False
nomad-KDD-100-reg-1,5,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.003395,0.035714,False
nomad-KDD-100-reg-1,5,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.003360,0.045023,False
nomad-KDD-100-reg-1,50,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.003280,0.056284,False
nomad-KDD-100-reg-1,50,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.003718,0.055470,False
nomad-KDD-25-reg-0.001,1,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.001591,0.008108,False
nomad-KDD-25-reg-0.001,1,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.002008,0.006615,False
nomad-KDD-25-reg-0.001,10,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.001797,0.014092,False
nomad-KDD-25-reg-0.001,10,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.001826,0.011257,False
nomad-KDD-25-reg-0.001,5,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.001588,0.011311,False
nomad-KDD-25-reg-0.001,5,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.001609,0.010250,False
nomad-KDD-25-reg-0.001,50,25,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.001605,0.018420,False
nomad-KDD-25-reg-0.001,50,25,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,5120,0.001636,0.015556,False
nomad-KDD-50-reg-1,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.001932,0.017789,False
nomad-KDD-50-reg-1,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.001922,0.019865,False
nomad-KDD-50-reg-1,10,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.002081,0.025210,False
nomad-KDD-50-reg-1,10,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.002487,0.026818,False
nomad-KDD-50-reg-1,5,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.002135,0.022614,False
nomad-KDD-50-reg-1,5,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.002141,0.025944,False
nomad-KDD-50-reg-1,50,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.002557,0.032956,False
nomad-KDD-50-reg-1,50,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.001993,0.031153,False
