model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
lemp-paper-Netflix-noav-100,1,17770,480189,100,50,0,24009450,5734128451,0.447467,1.79955,350.594,352.841
lemp-paper-Netflix-noav-50,1,17770,480189,50,1,0,480189,2144562806,0.164117,0.417322,77.6167,78.1981
lemp-paper-Netflix-noav-50,1,17770,480189,50,10,0,4801890,3305027627,0.185844,0.567861,108.745,109.498
lemp-paper-Netflix-noav-50,1,17770,480189,50,5,0,2400945,3012915238,0.173011,0.496577,97.6961,98.3657
lemp-paper-Netflix-noav-50,1,17770,480189,50,50,0,24009450,4459131013,0.41688,0.741685,139.542,140.701
nomad-Netflix-10-reg-0.0005,1,17770,480189,10,1,0,480189,2585259222,0.054619,0.139587,23.8733,24.0675
nomad-Netflix-10-reg-0.0005,1,17770,480189,10,10,0,4801890,3725337725,0.101069,0.213712,34.4128,34.7276
nomad-Netflix-10-reg-0.0005,1,17770,480189,10,5,0,2400945,3267083712,0.071067,0.184788,31.076,31.3318
nomad-Netflix-10-reg-0.0005,1,17770,480189,10,50,0,24009450,4950815532,0.257039,0.315445,50.7197,51.2922
nomad-Netflix-10-reg-0.005,1,17770,480189,10,1,0,480189,2259289978,0.053135,0.116336,19.9281,20.0976
nomad-Netflix-10-reg-0.005,1,17770,480189,10,10,0,4801890,3323711871,0.098849,0.189784,30.2773,30.5659
nomad-Netflix-10-reg-0.005,1,17770,480189,10,5,0,2400945,2869179574,0.080104,0.176114,28.0576,28.3138
nomad-Netflix-10-reg-0.005,1,17770,480189,10,50,0,24009450,4413962884,0.25661,0.287594,48.5524,49.0966
nomad-Netflix-10-reg-0.05,1,17770,480189,10,1,0,480189,970692486,0.041536,0.061283,8.41821,8.52103
nomad-Netflix-10-reg-0.05,1,17770,480189,10,10,0,4801890,1565747685,0.068192,0.109978,16.0821,16.2603
nomad-Netflix-10-reg-0.05,1,17770,480189,10,5,0,2400945,1385201212,0.05547,0.09213,13.036,13.1836
nomad-Netflix-10-reg-0.05,1,17770,480189,10,50,0,24009450,2422654313,0.162569,0.194187,27.2023,27.5591
nomad-Netflix-10-reg-0.5,1,17770,480189,10,1,0,480189,526080,0.032701,0.000245,0.018944,0.05189
nomad-Netflix-10-reg-0.5,1,17770,480189,10,10,0,4801890,4910718,0.057561,0.000438,0.143014,0.201013
nomad-Netflix-10-reg-0.5,1,17770,480189,10,5,0,2400945,2457773,0.042231,0.000369,0.073004,0.115604
nomad-Netflix-10-reg-0.5,1,17770,480189,10,50,0,24009450,24316758,0.154038,0.000975,0.670765,0.825778
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,1,0,480189,8059621840,0.328091,2.30956,463.598,466.235
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,10,0,4801890,8474333762,0.357892,2.30573,474.703,477.367
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,5,0,2400945,8450026828,0.432576,2.30511,477.083,479.82
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,50,0,24009450,8515240257,0.604117,2.37037,486.565,489.539
nomad-Netflix-100-reg-0.005,1,17770,480189,100,1,0,480189,8486315997,0.476359,2.29963,483.482,486.258
nomad-Netflix-100-reg-0.005,1,17770,480189,100,10,0,4801890,8524996409,0.507247,2.3327,476.437,479.277
nomad-Netflix-100-reg-0.005,1,17770,480189,100,5,0,2400945,8520629213,0.341199,2.31355,470.696,473.351
nomad-Netflix-100-reg-0.005,1,17770,480189,100,50,0,24009450,8529317314,0.441887,2.2932,477.861,480.596
nomad-Netflix-100-reg-0.05,1,17770,480189,100,1,0,480189,2375814649,0.325992,0.843734,156.508,157.678
nomad-Netflix-100-reg-0.05,1,17770,480189,100,10,0,4801890,3314447600,0.34807,1.13194,213.588,215.068
nomad-Netflix-100-reg-0.05,1,17770,480189,100,5,0,2400945,2801251192,0.336639,1.09978,189.009,190.445
nomad-Netflix-100-reg-0.05,1,17770,480189,100,50,0,24009450,3943058468,0.444141,1.39496,271.349,273.188
nomad-Netflix-100-reg-0.5,1,17770,480189,100,1,0,480189,544767,0.366091,0.00035,0.091066,0.457507
nomad-Netflix-100-reg-0.5,1,17770,480189,100,10,0,4801890,4996308,0.406952,0.000618,0.418612,0.826182
nomad-Netflix-100-reg-0.5,1,17770,480189,100,5,0,2400945,2510527,0.383706,0.000492,0.23171,0.615908
nomad-Netflix-100-reg-0.5,1,17770,480189,100,50,0,24009450,24376515,0.567461,0.001579,1.95004,2.51908
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,1,0,480189,6421815044,0.09485,0.542405,96.6098,97.247
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,10,0,4801890,7234381284,0.117074,0.674132,113.126,113.917
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,5,0,2400945,6170440725,0.104918,0.655727,109.072,109.832
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,50,0,24009450,7891002880,0.212722,0.815614,127.069,128.097
nomad-Netflix-25-reg-0.005,1,17770,480189,25,1,0,480189,5282104243,0.095138,0.546147,96.345,96.9863
nomad-Netflix-25-reg-0.005,1,17770,480189,25,10,0,4801890,7459370169,0.116114,0.688807,113.229,114.034
nomad-Netflix-25-reg-0.005,1,17770,480189,25,5,0,2400945,7152771537,0.106757,0.645776,109.582,110.334
nomad-Netflix-25-reg-0.005,1,17770,480189,25,50,0,24009450,7958857618,0.213746,0.822852,134.459,135.495
nomad-Netflix-25-reg-0.05,1,17770,480189,25,1,0,480189,2801523082,0.137064,0.245098,45.1716,45.5538
nomad-Netflix-25-reg-0.05,1,17770,480189,25,10,0,4801890,3730142815,0.175794,0.346225,60.6155,61.1375
nomad-Netflix-25-reg-0.05,1,17770,480189,25,5,0,2400945,3417943636,0.154854,0.309081,55.3022,55.7661
nomad-Netflix-25-reg-0.05,1,17770,480189,25,50,0,24009450,4825497677,0.334087,0.48794,82.6616,83.4836
nomad-Netflix-25-reg-0.5,1,17770,480189,25,1,0,480189,555423,0.110844,0.000264,0.040482,0.15159
nomad-Netflix-25-reg-0.5,1,17770,480189,25,10,0,4801890,4921897,0.148981,0.000487,0.220382,0.36985
nomad-Netflix-25-reg-0.5,1,17770,480189,25,5,0,2400945,2472351,0.12832,0.000356,0.114058,0.242734
nomad-Netflix-25-reg-0.5,1,17770,480189,25,50,0,24009450,24241965,0.314468,0.001113,0.959208,1.27479
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,1,0,480189,7277631977,0.229074,1.20867,211.209,212.646
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,10,0,4801890,8344337487,0.28746,1.28944,228.154,229.731
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,5,0,2400945,8028598033,0.250837,1.2549,227.822,229.328
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,50,0,24009450,8478873517,0.420113,1.37783,246.822,248.62
nomad-Netflix-50-reg-0.005,1,17770,480189,50,1,0,480189,7527561649,0.214244,1.28663,220.788,222.288
nomad-Netflix-50-reg-0.005,1,17770,480189,50,10,0,4801890,8151120193,0.283597,1.35844,228.859,230.501
nomad-Netflix-50-reg-0.005,1,17770,480189,50,5,0,2400945,8331876639,0.25122,1.3014,224.706,226.258
nomad-Netflix-50-reg-0.005,1,17770,480189,50,50,0,24009450,8514467441,0.45898,1.40424,241.289,243.152
nomad-Netflix-50-reg-0.05,1,17770,480189,50,1,0,480189,2518171986,0.170852,0.510316,89.0667,89.7479
nomad-Netflix-50-reg-0.05,1,17770,480189,50,10,0,4801890,3815858412,0.193362,0.632654,121.598,122.424
nomad-Netflix-50-reg-0.05,1,17770,480189,50,5,0,2400945,3136603125,0.180286,0.618777,109.021,109.82
nomad-Netflix-50-reg-0.05,1,17770,480189,50,50,0,24009450,5093805257,0.288607,0.835656,156.322,157.446
nomad-Netflix-50-reg-0.5,1,17770,480189,50,1,0,480189,542311,0.117851,0.000273,0.041747,0.159871
nomad-Netflix-50-reg-0.5,1,17770,480189,50,10,0,4801890,4969491,0.139879,0.000503,0.231746,0.372128
nomad-Netflix-50-reg-0.5,1,17770,480189,50,5,0,2400945,2495174,0.127536,0.000389,0.123734,0.251659
nomad-Netflix-50-reg-0.5,1,17770,480189,50,50,0,24009450,24391892,0.236855,0.002373,1.12775,1.36698
pb-new-Netflix-10,1,17770,480189,10,1,0,480189,1241499917,0.043841,0.067467,10.898,11.0094
pb-new-Netflix-10,1,17770,480189,10,10,0,4801890,1915988647,0.067858,0.128595,20.1406,20.337
pb-new-Netflix-10,1,17770,480189,10,5,0,2400945,1783324426,0.056351,0.105125,15.6808,15.8423
pb-new-Netflix-10,1,17770,480189,10,50,0,24009450,2860377794,0.162904,0.214467,34.5623,34.9397
pb-new-Netflix-25,1,17770,480189,25,1,0,480189,2485851805,0.095472,0.289267,56.3689,56.7537
pb-new-Netflix-25,1,17770,480189,25,10,0,4801890,4218705340,0.117019,0.397292,77.0764,77.5907
pb-new-Netflix-25,1,17770,480189,25,5,0,2400945,3579622332,0.105205,0.358789,72.1703,72.6343
pb-new-Netflix-25,1,17770,480189,25,50,0,24009450,4902765672,0.315612,0.525087,97.6707,98.5114
pb-new-Netflix-50,1,17770,480189,50,1,0,480189,3037904506,0.241751,0.741859,131.646,132.63
pb-new-Netflix-50,1,17770,480189,50,10,0,4801890,4025358081,0.192716,0.99854,160.934,162.125
pb-new-Netflix-50,1,17770,480189,50,5,0,2400945,3451027719,0.258346,0.966863,154.796,156.021
