model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
nomad-Netflix-10-reg-0.005,1,17770,480189,10,50,0,24009450,4413962884,0.25661,0.287594,48.5524,49.0966
nomad-Netflix-10-reg-0.05,1,17770,480189,10,1,0,480189,990868000,0.042425,0.061275,8.54791,8.65161
nomad-Netflix-10-reg-0.05,1,17770,480189,10,10,0,4801890,1604292197,0.067081,0.108125,15.5515,15.7267
nomad-Netflix-10-reg-0.05,1,17770,480189,10,5,0,2400945,1399814761,0.052726,0.086031,12.816,12.9547
nomad-Netflix-10-reg-0.05,1,17770,480189,10,50,0,24009450,2438905435,0.158067,0.185322,25.9744,26.3178
nomad-Netflix-10-reg-0.5,1,17770,480189,10,1,0,480189,526080,0.032701,0.000245,0.018944,0.05189
nomad-Netflix-10-reg-0.5,1,17770,480189,10,10,0,4801890,4910718,0.057561,0.000438,0.143014,0.201013
nomad-Netflix-10-reg-0.5,1,17770,480189,10,5,0,2400945,2457773,0.042231,0.000369,0.073004,0.115604
nomad-Netflix-10-reg-0.5,1,17770,480189,10,50,0,24009450,24316758,0.154038,0.000975,0.670765,0.825778
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,1,0,480189,8059621840,0.328091,2.30956,463.598,466.235
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,10,0,4801890,8474333762,0.357892,2.30573,474.703,477.367
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,5,0,2400945,8450026828,0.432576,2.30511,477.083,479.82
nomad-Netflix-100-reg-0.0005,1,17770,480189,100,50,0,24009450,8515240257,0.604117,2.37037,486.565,489.539
nomad-Netflix-100-reg-0.005,1,17770,480189,100,1,0,480189,8486315997,0.476359,2.29963,483.482,486.258
nomad-Netflix-100-reg-0.005,1,17770,480189,100,10,0,4801890,8524996409,0.507247,2.3327,476.437,479.277
nomad-Netflix-100-reg-0.005,1,17770,480189,100,5,0,2400945,8520629213,0.341199,2.31355,470.696,473.351
nomad-Netflix-100-reg-0.005,1,17770,480189,100,50,0,24009450,8529317314,0.441887,2.2932,477.861,480.596
nomad-Netflix-100-reg-0.05,1,17770,480189,100,1,0,480189,2167208670,0.325281,0.837282,154.213,155.375
nomad-Netflix-100-reg-0.05,1,17770,480189,100,10,0,4801890,3125214323,0.346414,1.15578,207.595,209.097
nomad-Netflix-100-reg-0.05,1,17770,480189,100,5,0,2400945,2755117966,0.334976,0.969139,188.985,190.289
nomad-Netflix-100-reg-0.05,1,17770,480189,100,50,0,24009450,4247740382,0.439629,1.44604,272.712,274.598
nomad-Netflix-100-reg-0.5,1,17770,480189,100,1,0,480189,544767,0.366091,0.00035,0.091066,0.457507
nomad-Netflix-100-reg-0.5,1,17770,480189,100,10,0,4801890,4996308,0.406952,0.000618,0.418612,0.826182
nomad-Netflix-100-reg-0.5,1,17770,480189,100,5,0,2400945,2510527,0.383706,0.000492,0.23171,0.615908
nomad-Netflix-100-reg-0.5,1,17770,480189,100,50,0,24009450,24376515,0.567461,0.001579,1.95004,2.51908
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,1,0,480189,6421815044,0.09485,0.542405,96.6098,97.247
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,10,0,4801890,7234381284,0.117074,0.674132,113.126,113.917
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,5,0,2400945,6170440725,0.104918,0.655727,109.072,109.832
nomad-Netflix-25-reg-0.0005,1,17770,480189,25,50,0,24009450,7891002880,0.212722,0.815614,127.069,128.097
nomad-Netflix-25-reg-0.005,1,17770,480189,25,1,0,480189,5282104243,0.095138,0.546147,96.345,96.9863
nomad-Netflix-25-reg-0.005,1,17770,480189,25,10,0,4801890,7459370169,0.116114,0.688807,113.229,114.034
nomad-Netflix-25-reg-0.005,1,17770,480189,25,5,0,2400945,7152771537,0.106757,0.645776,109.582,110.334
nomad-Netflix-25-reg-0.005,1,17770,480189,25,50,0,24009450,7958857618,0.213746,0.822852,134.459,135.495
nomad-Netflix-25-reg-0.05,1,17770,480189,25,1,0,480189,2847370610,0.092575,0.237342,42.5042,42.8341
nomad-Netflix-25-reg-0.05,1,17770,480189,25,10,0,4801890,3752093288,0.115461,0.341705,57.6589,58.1161
nomad-Netflix-25-reg-0.05,1,17770,480189,25,5,0,2400945,3402570852,0.102418,0.308733,53.1849,53.5961
nomad-Netflix-25-reg-0.05,1,17770,480189,25,50,0,24009450,4815630231,0.209865,0.486031,80.2593,80.9552
nomad-Netflix-25-reg-0.5,1,17770,480189,25,1,0,480189,555423,0.110844,0.000264,0.040482,0.15159
nomad-Netflix-25-reg-0.5,1,17770,480189,25,10,0,4801890,4921897,0.148981,0.000487,0.220382,0.36985
nomad-Netflix-25-reg-0.5,1,17770,480189,25,5,0,2400945,2472351,0.12832,0.000356,0.114058,0.242734
nomad-Netflix-25-reg-0.5,1,17770,480189,25,50,0,24009450,24241965,0.314468,0.001113,0.959208,1.27479
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,1,0,480189,7277631977,0.229074,1.20867,211.209,212.646
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,10,0,4801890,8344337487,0.28746,1.28944,228.154,229.731
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,5,0,2400945,8028598033,0.250837,1.2549,227.822,229.328
nomad-Netflix-50-reg-0.0005,1,17770,480189,50,50,0,24009450,8478873517,0.420113,1.37783,246.822,248.62
nomad-Netflix-50-reg-0.005,1,17770,480189,50,1,0,480189,7527561649,0.214244,1.28663,220.788,222.288
nomad-Netflix-50-reg-0.005,1,17770,480189,50,10,0,4801890,8151120193,0.283597,1.35844,228.859,230.501
nomad-Netflix-50-reg-0.005,1,17770,480189,50,5,0,2400945,8331876639,0.25122,1.3014,224.706,226.258
nomad-Netflix-50-reg-0.005,1,17770,480189,50,50,0,24009450,8514467441,0.45898,1.40424,241.289,243.152
nomad-Netflix-50-reg-0.05,1,17770,480189,50,1,0,480189,2797060539,0.169079,0.492938,90.6674,91.3294
nomad-Netflix-50-reg-0.05,1,17770,480189,50,10,0,4801890,3416168244,0.190328,0.697238,116.013,116.901
nomad-Netflix-50-reg-0.05,1,17770,480189,50,5,0,2400945,3133838089,0.178284,0.610293,106.583,107.371
nomad-Netflix-50-reg-0.05,1,17770,480189,50,50,0,24009450,4920896586,0.285541,0.840191,156.829,157.955
nomad-Netflix-50-reg-0.5,1,17770,480189,50,1,0,480189,542311,0.117851,0.000273,0.041747,0.159871
nomad-Netflix-50-reg-0.5,1,17770,480189,50,10,0,4801890,4969491,0.139879,0.000503,0.231746,0.372128
