model,K,num_latent_factors,alg,scaling_value,sigma,preproc_time,comp_time,num_items_first_check,num_items_last_check,user_sample_ratio,blocked_mm_sample_time,fexipro_sample_time,fexipro_wins
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.005913,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.004819,0.004145,True
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.004458,0.005320,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.002858,0.005744,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.001886,0.005547,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.002128,0.005528,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.059807,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.004796,0.058684,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.003453,0.057997,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.002627,0.057765,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.002882,0.058576,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.002921,0.058547,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.005461,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.000000,0.006760,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.000000,0.005332,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.000000,0.005844,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.000000,0.005576,False
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.000000,0.005761,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.058279,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.000000,0.060806,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.000000,0.057563,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.000000,0.057865,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.000000,0.059232,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.000000,0.059535,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000393,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.000109,0.000344,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.000495,0.000577,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.000405,0.000481,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.000156,0.000343,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.000096,0.000345,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000421,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.000132,0.000534,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.000584,0.000791,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.000384,0.000410,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.000158,0.000354,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.000094,0.000365,False
nomad-KDD-50-reg-1,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.017104,False
nomad-KDD-50-reg-1,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.004662,0.016184,False
nomad-KDD-50-reg-1,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.002634,0.016053,False
nomad-KDD-50-reg-1,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.002626,0.016368,False
nomad-KDD-50-reg-1,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.002139,0.017277,False
nomad-KDD-50-reg-1,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.001800,0.017974,False
nomad-KDD-50-reg-1,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.020399,False
nomad-KDD-50-reg-1,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.004694,0.021019,False
nomad-KDD-50-reg-1,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.002602,0.017133,False
nomad-KDD-50-reg-1,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.002592,0.019221,False
nomad-KDD-50-reg-1,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.002139,0.017678,False
nomad-KDD-50-reg-1,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.001917,0.017910,False
nomad-Netflix-50-reg-0.05,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000394,False
nomad-Netflix-50-reg-0.05,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.000136,0.000485,False
nomad-Netflix-50-reg-0.05,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.001022,0.000501,True
nomad-Netflix-50-reg-0.05,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.001000,0.000475,0.000410,True
nomad-Netflix-50-reg-0.05,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.005000,0.000162,0.000351,False
nomad-Netflix-50-reg-0.05,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.010000,0.000103,0.000333,False
nomad-Netflix-50-reg-0.05,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000404,False
nomad-Netflix-50-reg-0.05,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000100,0.000127,0.000453,False
nomad-Netflix-50-reg-0.05,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000500,0.000703,0.000612,True
