model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time,blocked_mm_sample_time,simdex_sample_time,simdex_wins
nomad-Netflix-10-reg-0.05,10,10,1,1,4096,8,10,3,1.91461,0.094568,0.064516,0.612446,0.77153,0.456318,0.155993,1
nomad-Netflix-25-reg-0.05,1,25,1,1,4096,8,10,3,5.7307,0.175534,0.120275,0.312247,0.608056,0.189127,0.122985,1
nomad-Netflix-25-reg-0.05,10,25,1,1,4096,8,10,3,5.7912,0.173264,0.121366,0.331398,0.626028,0.197465,0.133788,1
nomad-Netflix-25-reg-0.05,5,25,1,1,4096,8,10,3,5.7104,0.175142,0.120769,0.301854,0.597765,0.186983,0.114759,1
nomad-Netflix-25-reg-0.05,50,25,1,1,4096,8,10,3,5.72621,0.176439,0.117985,0.379724,0.674148,0.226267,0.152439,1
nomad-Netflix-50-reg-0.05,10,50,1,1,4096,8,10,3,9.70163,0.29722,0.120679,0.203248,0.621147,0.102813,0.100278,1
nomad-Netflix-50-reg-0.05,1,50,1,1,4096,8,10,3,9.56606,0.305458,0.214819,0.252658,0.772935,0.124207,0.128306,0
nomad-Netflix-50-reg-0.05,50,50,1,1,4096,8,10,3,9.52178,0.300311,0.12117,0.239059,0.66054,0.120754,0.118173,1
nomad-Netflix-50-reg-0.05,5,50,1,1,4096,8,10,3,9.54837,0.305887,0.215051,0.227986,0.748924,0.130357,0.097486,1
nomad-R2-100-reg-0,5,100,1,1,4096,8,10,3,90.7468,2.24575,1.50305,0.646145,4.39495,0.572505,0.073507,1
nomad-R2-100-reg-0,50,100,1,1,4096,8,10,3,76.1614,2.14083,0.807303,0.562471,3.5106,0.461567,0.10076,1
nomad-R2-100-reg-0,1,100,1,1,4096,8,10,3,76.2733,2.2258,1.32863,0.633217,4.18764,0.582251,0.050695,1
nomad-R2-10-reg-0.001,5,10,1,1,4096,8,10,3,7.59152,0.36333,0.242796,3.32921,3.93533,3.18155,0.147524,1
nomad-R2-10-reg-0.001,1,10,1,1,4096,8,10,3,7.47889,0.348492,0.245689,3.1841,3.77828,3.04625,0.137722,1
nomad-R2-10-reg-0.001,50,10,1,1,4096,8,10,3,7.60285,0.369959,0.251531,3.66757,4.28906,3.26555,0.401898,1
nomad-R2-10-reg-0.001,10,10,1,1,4096,8,10,3,7.61782,0.364547,0.244466,3.43733,4.04634,3.12406,0.313143,1
nomad-R2-25-reg-0.001,1,25,1,1,4096,8,10,3,18.5873,0.648035,0.259092,1.02716,1.93428,0.892598,0.134413,1
nomad-R2-25-reg-0.001,10,25,1,1,4096,8,10,3,22.2862,0.636637,0.258996,1.15381,2.04945,0.957648,0.196004,1
nomad-R2-25-reg-0.001,5,25,1,1,4096,8,10,3,22.2813,0.642656,0.258765,1.05911,1.96053,0.888219,0.170735,1
nomad-R2-50-reg-0.000001,50,50,1,1,4096,8,10,3,37.9349,1.18245,0.819068,1.13469,3.13621,0.907393,0.227174,1
nomad-R2-50-reg-0.000001,10,50,1,1,4096,8,10,3,45.5289,1.1598,0.821176,1.02727,3.00824,0.890577,0.13656,1
nomad-R2-50-reg-0.000001,5,50,1,1,4096,8,10,3,45.4666,1.17394,0.819075,1.01667,3.00968,0.892205,0.124341,1
nomad-R2-50-reg-0.000001,1,50,1,1,4096,8,10,3,39.167,1.12428,0.451091,0.72718,2.30255,0.617461,0.109565,1
