model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time,user_sample_ratio,blocked_mm_sample_time,lemp_sample_time,lemp_wins
nomad-KDD-25-reg-0.001,1,624961,5120,25,10,0,51200,86318080,0.401015,0.777148,5.33868,6.51684,0,0.00155423,0.00123745,true
nomad-KDD-25-reg-0.001,1,624961,5120,25,5,0,25600,584038400,0.804159,3.47957,23.411,27.6947,0,0.00155127,0.00537387,false
nomad-KDD-25-reg-0.001,1,624961,5120,25,50,0,256000,991032320,0.783197,4.0349,33.8151,38.6332,0,0.00158285,0.00751026,false
nomad-KDD-50-reg-1,1,624961,2560,50,1,0,2560,621775360,1.65396,3.42919,30.1504,35.2335,0,0.0019132,0.013663,false
nomad-KDD-50-reg-1,1,624961,2560,50,10,0,25600,548718080,1.33526,2.62403,25.1487,29.108,0,0.0017996,0.0112699,false
nomad-KDD-50-reg-1,1,624961,2560,50,5,0,12800,57331200,0.737303,0.999349,5.20321,6.93987,0,0.00211376,0.00261071,false
nomad-KDD-50-reg-1,1,624961,2560,50,50,0,128000,981084160,1.79748,3.41018,37.7738,42.9815,0,0.00184523,0.0166879,false
nomad-Netflix-10-reg-0.05,1,17770,12800,10,1,0,12800,10688000,0.005314,0.034095,0.159147,0.198556,0,6.84304e-05,1.53181e-05,true
nomad-Netflix-10-reg-0.05,1,17770,12800,10,10,0,128000,5964800,0.010252,0.085535,0.424603,0.52039,0,6.79485e-05,4.04633e-05,true
nomad-Netflix-10-reg-0.05,1,17770,12800,10,5,0,64000,12403200,0.005803,0.017806,0.170033,0.193642,0,6.53357e-05,1.49327e-05,true
nomad-Netflix-10-reg-0.05,1,17770,12800,10,50,0,640000,50099200,0.014135,0.131088,0.813537,0.95876,0,8.65538e-05,7.47095e-05,true
nomad-Netflix-100-reg-0.05,1,17770,1280,100,1,0,1280,5066240,0.04605,0.061658,0.362607,0.470315,0,0.000384555,0.000360257,true
nomad-Netflix-100-reg-0.05,1,17770,1280,100,10,0,12800,9448960,0.072296,0.105211,0.689724,0.867231,0,0.000239982,0.000670295,false
nomad-Netflix-100-reg-0.05,1,17770,1280,100,5,0,6400,8897280,0.059849,0.09769,0.648624,0.806163,0,0.000257587,0.000622553,false
nomad-Netflix-100-reg-0.05,1,17770,1280,100,50,0,64000,16350720,0.100952,0.172063,1.12815,1.40117,0,0.000389873,0.00108596,false
nomad-Netflix-25-reg-0.05,1,17770,5120,25,1,0,5120,15098880,0.015115,0.072945,0.452859,0.540919,0,7.81303e-05,0.000104936,false
nomad-Netflix-25-reg-0.05,1,17770,5120,25,10,0,51200,39270400,0.029796,0.186565,1.18346,1.39982,0,8.37184e-05,0.000272631,false
nomad-Netflix-25-reg-0.05,1,17770,5120,25,5,0,25600,17633280,0.016259,0.076843,0.576741,0.669843,0,8.57238e-05,0.000130126,false
nomad-Netflix-25-reg-0.05,1,17770,5120,25,50,0,256000,55080960,0.026928,0.193806,1.43836,1.65909,0,0.000106679,0.000323339,false
nomad-Netflix-50-reg-0.05,1,17770,2560,50,1,0,2560,34040320,0.062936,0.227725,1.2942,1.58486,0,0.00011603,0.000616938,false
nomad-Netflix-50-reg-0.05,1,17770,2560,50,10,0,25600,8785920,0.0271,0.069273,0.438254,0.534627,0,0.000145821,0.000206683,false
nomad-Netflix-50-reg-0.05,1,17770,2560,50,5,0,12800,8194560,0.03923,0.094482,0.443091,0.576803,0,0.000130718,0.000223307,false
nomad-Netflix-50-reg-0.05,1,17770,2560,50,50,0,128000,25308160,0.053783,0.187844,1.08251,1.32413,0,0.000138706,0.000515215,false
nomad-R2-10-reg-0.001,1,136736,12800,10,1,0,12800,65113600,0.026786,0.160995,1.5042,1.69198,0,0.000553901,0.000130653,true
nomad-R2-10-reg-0.001,1,136736,12800,10,10,0,128000,41702400,0.028846,0.197551,0.81638,1.04278,0,0.000557815,7.9987e-05,true
nomad-R2-10-reg-0.001,1,136736,12800,10,5,0,64000,145881600,0.046539,0.289059,1.93303,2.26863,0,0.000531031,0.000175748,true
nomad-R2-10-reg-0.001,1,136736,12800,10,50,0,640000,131392000,0.039728,0.388539,2.1836,2.61187,0,0.000571999,0.000202539,true
nomad-R2-100-reg-0,1,136736,1280,100,1,0,1280,6607360,0.13131,0.074071,0.454575,0.659956,0,0.00111867,0.000443902,true
nomad-R2-100-reg-0,1,136736,1280,100,10,0,12800,3080960,0.109364,0.037563,0.221814,0.368741,0,0.000801059,0.000217343,true
nomad-R2-100-reg-0,1,136736,1280,100,5,0,6400,3720960,0.108942,0.036943,0.245438,0.391323,0,0.000982784,0.000233868,true
nomad-R2-100-reg-0,1,136736,1280,100,50,0,64000,5849600,0.127795,0.066909,0.456355,0.651059,0,0.000952059,0.000437149,true
nomad-R2-25-reg-0.001,1,136736,5120,25,1,0,5120,24381440,0.049836,0.098033,0.591303,0.739172,0,0.000437658,0.000137399,true
nomad-R2-25-reg-0.001,1,136736,5120,25,10,0,51200,48558080,0.054274,0.168457,1.19383,1.41656,0,0.000440853,0.000269659,true
nomad-R2-25-reg-0.001,1,136736,5120,25,5,0,25600,28252160,0.047312,0.11705,0.680354,0.844716,0,0.000461368,0.000157935,true
nomad-R2-25-reg-0.001,1,136736,5120,25,50,0,256000,54589440,0.059448,0.218035,1.50371,1.78119,0,0.000474157,0.000340879,true
nomad-R2-50-reg-0.000001,1,136736,2560,50,1,0,2560,40066560,0.296602,0.570075,2.58414,3.45081,0,0.000515331,0.00132651,false
nomad-R2-50-reg-0.000001,1,136736,2560,50,10,0,25600,14919680,0.076446,0.097092,0.569561,0.743099,0,0.000610563,0.000269576,true
nomad-R2-50-reg-0.000001,1,136736,2560,50,5,0,12800,12446720,0.074706,0.075101,0.466569,0.616376,0,0.000542346,0.000219807,true
nomad-R2-50-reg-0.000001,1,136736,2560,50,50,0,128000,29634560,0.105992,0.209134,1.25589,1.57101,0,0.000541552,0.000593081,false
