model,avg_num_items_visited,num_users,num_items,mm_time,simdex_time
lemp-paper-KDD-50,134610,100990,626961,4040.020000,8373.120000
lemp-paper-Netflix-50,7355,480189,17770,39.517200,25.451700
lemp-paper-Netflix-noav-100,14839,480189,17770,55.720500,80.414800
lemp-paper-Netflix-noav-10,4889,480189,17770,24.056000,7.417800
lemp-paper-Netflix-noav-50,10624,480189,17770,39.447700,41.374500
nomad-KDD-10-reg-1,61333,100990,626961,1914.220000,450.930000
nomad-KDD-100-reg-1,393887,100990,626961,5660.330000,nan
nomad-KDD-25-reg-0.001,227225,100990,626961,2023.200000,5967.710000
nomad-KDD-50-reg-1,376066,100990,626961,3412.780000,23245.400000
nomad-Netflix-10-reg-0.05,5580,480189,17770,22.846900,8.109860
nomad-Netflix-100-reg-0.05,13004,480189,17770,55.156400,73.469200
nomad-Netflix-25-reg-0.05,10112,480189,17770,25.626400,22.557400
nomad-Netflix-50-reg-0.05,13235,480189,17770,39.592400,43.104200
nomad-R2-10-reg-0.001,8807,1823179,136736,617.476000,90.644400
nomad-R2-100-reg-0.001,4096,1823179,136736,1611.960000,68.871400
nomad-R2-25-reg-0.001,12458,1823179,136736,714.748000,211.615000
nomad-R2-50-reg-0.001,9131,1823179,136736,1148.410000,218.144000
