model,avg_num_items_visited,num_users,num_items,mm_time,simdex_time
lemp-paper-KDD-50,215023,100990,626961,3994.790000,14577.100000
lemp-paper-Netflix-50,11776,480189,17770,51.748800,38.937300
lemp-paper-Netflix-noav-100,16375,480189,17770,67.941100,97.679000
lemp-paper-Netflix-noav-10,6502,480189,17770,36.435900,17.209700
lemp-paper-Netflix-noav-50,13670,480189,17770,51.990400,57.204000
nomad-KDD-10-reg-1,108707,100990,626961,1945.630000,652.284000
nomad-KDD-100-reg-1,449843,100990,626961,4623.210000,nan
nomad-KDD-25-reg-0.001,315510,100990,626961,2053.550000,9220.970000
nomad-KDD-50-reg-1,434778,100990,626961,3445.220000,30286.400000
nomad-Netflix-10-reg-0.05,7253,480189,17770,35.662900,18.832000
nomad-Netflix-100-reg-0.05,15402,480189,17770,67.783500,85.752200
nomad-Netflix-25-reg-0.05,13346,480189,17770,38.499300,37.489800
nomad-Netflix-50-reg-0.05,15266,480189,17770,52.309100,58.644600
nomad-R2-10-reg-0.001,13197,1823179,136736,680.902000,177.111000
nomad-R2-100-reg-0.001,4096,1823179,136736,1659.320000,66.472300
nomad-R2-25-reg-0.001,17873,1823179,136736,776.979000,366.929000
nomad-R2-50-reg-0.001,13022,1823179,136736,1209.320000,392.783000
