model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
pb-new-Netflix-10,5,10,1,3,256,256,10,3,3.58309,0.619379,0.0849888,9.88984,10.5942
pb-new-Netflix-10,1,10,1,3,256,4096,10,3,3.5893,8.04123,0.359797,8.10556,16.5066
pb-new-Netflix-10,10,10,1,10,256,1024,10,3,3.59248,2.14515,0.119388,12.4702,14.7347
pb-new-Netflix-10,10,10,1,10,256,128,10,3,3.5983,0.3445,0.0410905,10.8123,11.1979
pb-new-Netflix-10,1,10,1,5,256,2048,10,3,3.62549,4.15141,0.198525,7.65947,12.0094
pb-new-Netflix-10,1,10,1,10,256,256,10,3,3.60764,0.549835,0.0539629,6.13409,6.73788
pb-new-Netflix-10,50,10,1,10,256,2048,10,3,3.61733,4.15813,0.199975,22.2583,26.6164
pb-new-Netflix-10,5,10,1,3,256,64,10,3,3.64257,0.319372,0.0599591,11.3012,11.6805
pb-new-Netflix-10,5,10,1,5,256,256,10,3,3.6132,0.581185,0.0563361,9.15023,9.78775
pb-new-Netflix-10,50,10,1,1,256,512,10,3,3.62764,1.14896,0.105869,26.7925,28.0473
pb-new-Netflix-10,1,10,1,1,256,256,10,3,3.67061,0.544662,0.0763059,9.60362,10.2246
pb-new-Netflix-10,5,10,1,1,256,2048,10,3,3.60142,4.29623,0.206454,10.7712,15.2739
pb-new-Netflix-10,5,10,1,1,256,512,10,3,3.61637,1.09002,0.0774011,13.0044,14.1718
pb-new-Netflix-10,5,10,1,5,256,1024,10,3,3.60247,2.18859,0.113524,8.76037,11.0625
pb-new-Netflix-10,1,10,1,1,256,1024,10,3,3.67051,2.30119,0.128356,7.90682,10.3364
pb-new-Netflix-10,5,10,1,5,256,4096,10,3,3.58254,10.2724,0.395441,13.6913,24.3591
pb-new-Netflix-10,1,10,1,10,256,512,10,3,3.59345,1.15623,0.105277,7.26255,8.52405
pb-new-Netflix-10,50,10,1,5,256,256,10,3,3.60107,0.601108,0.04918,20.4082,21.0585
pb-new-Netflix-10,10,10,1,1,256,64,10,3,3.59871,0.218345,0.0360146,17.5665,17.8209
pb-new-Netflix-10,50,10,1,1,256,4096,10,3,3.59274,9.50493,0.396426,20.9936,30.8949
pb-new-Netflix-10,50,10,1,5,256,2048,10,3,3.62327,4.1713,0.200703,19.7988,24.1709
pb-new-Netflix-10,5,10,1,10,256,256,10,3,3.58903,0.642255,0.0776262,9.7474,10.4673
pb-new-Netflix-10,10,10,1,3,256,2048,10,3,3.60995,4.27924,0.211493,11.5774,16.0682
pb-new-Netflix-10,10,10,1,1,256,4096,10,3,3.62051,8.55529,0.360595,12.0385,20.9544
pb-new-Netflix-10,1,10,1,1,256,64,10,3,3.67063,0.192254,0.0593528,10.3461,10.5977
pb-new-Netflix-10,50,10,1,3,256,128,10,3,4.13984,0.413631,0.0696904,22.6977,23.181
pb-new-Netflix-10,1,10,1,3,256,64,10,3,3.64144,0.277427,0.0541609,7.51999,7.85157
pb-new-Netflix-10,5,10,1,3,256,1024,10,3,3.57719,2.22433,0.114015,9.12037,11.4587
pb-new-Netflix-10,1,10,1,3,256,256,10,3,3.59483,0.612882,0.0825538,6.64829,7.34373
pb-new-Netflix-10,50,10,1,5,256,128,10,3,3.59805,0.402142,0.0611851,20.7242,21.1876
pb-new-Netflix-10,1,10,1,3,256,2048,10,3,3.66746,4.1959,0.201284,6.42886,10.8261
pb-new-Netflix-10,1,10,1,5,256,4096,10,3,3.64316,8.26632,0.362505,10.8964,19.5252
pb-new-Netflix-10,10,10,1,10,256,4096,10,3,3.61262,8.19483,0.359264,24.1525,32.7066
pb-new-Netflix-10,50,10,1,10,256,64,10,3,3.60957,0.230304,0.038796,19.8795,20.1486
pb-new-Netflix-10,50,10,1,10,256,4096,10,3,3.28524,7.433,0.341947,27.6642,35.4391
pb-new-Netflix-10,5,10,1,10,256,128,10,3,3.59967,0.406939,0.040473,9.16752,9.61493
pb-new-Netflix-10,50,10,1,3,256,256,10,3,3.5917,0.555173,0.0519819,21.2529,21.8601
pb-new-Netflix-10,1,10,1,1,256,512,10,3,3.59855,1.1106,0.111405,8.7767,9.99871
pb-new-Netflix-10,5,10,1,1,256,128,10,3,3.58727,0.384381,0.0621299,14.8913,15.3378
pb-new-Netflix-10,10,10,1,10,256,2048,10,3,3.58019,4.12777,0.202356,15.7706,20.1007
pb-new-Netflix-10,50,10,1,5,256,64,10,3,3.63894,0.240111,0.0307874,22.5328,22.8037
pb-new-Netflix-10,5,10,1,10,256,2048,10,3,3.5947,4.20851,0.196496,15.0874,19.4924
pb-new-Netflix-10,1,10,1,5,256,1024,10,3,3.63647,2.22847,0.116463,6.82843,9.17337
pb-new-Netflix-10,5,10,1,1,256,4096,10,3,3.58842,8.47179,0.38661,10.018,18.8764
pb-new-Netflix-10,1,10,1,1,256,4096,10,3,3.77043,8.31137,0.359842,6.92137,15.5926
