model,num_tasks,num_threads,timeout,global_num_updates,test_rmse,global_test_sum_error,global_test_count_error,global_num_failures,global_col_empty,global_send_count,train_rmse,,global_train_sum_error,global_train_count_error
nomad-R2-10-reg-0.01,4,4,1000,34378834137,1.20571,2.65041e+07,18231790,2080549085,0,26750700,1.13304,8.9819e+08,699640226
nomad-R2-10-reg-0.1,4,4,1000,32965307909,1.34011,3.27425e+07,18231790,2151909160,0,25630300,1.24266,1.08038e+09,699640226
nomad-R2-10-reg-1,4,4,1000,33166422402,1.80981,5.97163e+07,18231790,2186234439,0,25791100,1.60281,1.79737e+09,699640226
nomad-R2-100-reg-0.0001,4,4,1000,6599221024,1.22647,2.74249e+07,18231790,484451828,0,5112009,1.16957,9.57031e+08,699640226
nomad-R2-100-reg-0.001,4,4,500,864888124,1.58938,4.60558e+07,18231790,69488423,0,622832,1.33212,1.24155e+09,699640226
nomad-R2-100-reg-0.01,4,4,500,1004673109,1.57182,4.50436e+07,18231790,34845468,0,732780,1.31185,1.20405e+09,699640226
nomad-R2-100-reg-0.1,4,4,500,1061364775,1.75258,5.59999e+07,18231790,51335141,0,778503,1.34003,1.25633e+09,699640226
nomad-R2-100-reg-1,4,4,500,954310287,2.49818,1.13782e+08,18231790,80646089,0,692414,1.85039,2.39552e+09,699640226
nomad-R2-25-reg-0.0001,4,4,1000,16902922135,1.17916,2.53498e+07,18231790,2317111927,0,13068100,1.11102,8.6361e+08,699640226
nomad-R2-25-reg-0.001,4,4,1000,23023557458,1.1707,2.49875e+07,18231790,204596939,0,17953593,1.09828,8.43914e+08,699640226
nomad-R2-25-reg-0.01,4,4,1000,22970893502,1.20437,2.64455e+07,18231790,255837322,0,17905200,1.12659,8.87987e+08,699640226
nomad-R2-25-reg-0.1,4,4,1000,23089875214,1.35223,3.33373e+07,18231790,284703058,0,17997700,1.2463,1.08672e+09,699640226
nomad-R2-25-reg-1,4,4,1000,21031961155,1.83922,6.16734e+07,18231790,731018316,0,16388875,1.60689,1.80654e+09,699640226
nomad-R2-50-reg-0.0001,4,4,1000,11342174167,1.19073,2.58496e+07,18231790,905999165,0,8813835,1.12581,8.86765e+08,699640226
nomad-R2-50-reg-0.001,4,4,1000,12060407959,1.19142,2.58795e+07,18231790,277727042,0,9379218,1.12488,8.8529e+08,699640226
nomad-R2-50-reg-0.01,4,4,1000,14114009284,1.21989,2.71314e+07,18231790,249293067,0,10987090,1.14572,9.18403e+08,699640226
nomad-R2-50-reg-0.1,4,4,1000,14458515410,1.37438,3.44384e+07,18231790,210805361,0,11252468,1.25061,1.09426e+09,699640226
nomad-R2-50-reg-1,4,4,1000,14323454049,1.87438,6.40536e+07,18231790,268686931,0,11152756,1.61231,1.81875e+09,699640226
